Product,"Pig Iron, Exw-Durgapur, India","Pig Iron, DAP-Ludhiana, India","Sponge Iron, CDRI, Exw-Rourkela, India","Sponge Iron, PDRI, Exw-Raipur, India","Melting Scrap, DAP-Mumbai, India","Ship cutting plate, Exy-Alang, India","Billet Index, Exw-Raipur, India","Rebar, Exy-Mumbai, India","Rebar, Exy-Mumbai, India","Rebar, Exw-Mumbai, India","Wire Rod, Exw-Jharkhand, India","Wire Rod, Exw-Raipur, India","HRC, Exy-Mumbai, India","HRC, CFR West Coast, India","HRC Index, FOB Main Port, India (destination ME & S. E. Asia)","CRC, Exy-Mumbai, India","HR Plate, Exy-Mumbai, India","ERW Pipe (HR Coil based), Exy-Mumbai, India","Aluminium Tense Scrap, Exy-Delhi, India","Aluminium Ingot ADC12, Exw-Delhi NCR, India","Copper Armature Scrap, Exy-Delhi, India","Copper Primary CC Wire Rods (CCR), Exw-Delhi, India","Zinc Special High Grade Ingot, Exw-Delhi, India","Lead Remelted Ingot, Exw-Delhi, India","Stainless Steel 304 Grade, HRC, Exw-Mumbai, India","Stainless Steel 316 Grade, HRC, Exw-Mumbai, India"
Grade,Steel Grade,Foundry Grade,"Mix (70% Lumps, 30% Fines), FeM 80% (+/-1)","Lumps, FeM 80%, +/-1",HMS(80:20),"HMS(80:20), Ship Breaking","100x100mm, IS 2831","12-32mm, BF Route, IS 1786 Fe 550D","12-32mm, BF Route , IS 1786 Fe 500D","12-25mm, IF Route, Fe 500, IS 1786","5.5-6.0mm, Wire Rod, BF Route, SAE 1008, Low Carbon","5.5 mm, SWRY 14 LC Gr 3, Induction route","2.5-8mm / CTL, IS2062, Gr E250 Br.","2-12 mm, SS400 (China Origin)","2.5 mm, SAE1006","0.90mm / CTL, IS 513, CR1","20-40mm, Gr E250 Br.","2.2-6mm, IS 1239,IS 1161 (HR Coil Based)",Solid (Loose),Automobile OEM,Cu 99%,"8 mm, Cu 99.99%","25 Kg, Ingot, Zn 99.99%","Ingot, Pb 99%","3-25 mm, No. 1 Finish","3-25 mm, No. 1 Finish"
Commodity,Scrap & Metallics / Pig Iron,Scrap & Metallics / Pig Iron,Scrap & Metallics / Sponge Iron,Scrap & Metallics / Sponge Iron,Scrap & Metallics / Melting Scrap,Scrap & Metallics / Rerolling scrap,Steel / Semi Finished / Billet,Steel / Finish long / Rebar,Steel / Finish long / Rebar,Steel / Finish long / Rebar,Steel / Finish long / Wire Rod,Steel / Finish long / Wire Rod,Steel / Finish Flat / HRC,Steel / Finish Flat / HRC,Steel / Finish Flat / HRC,Steel / Finish Flat / CRC,Steel / Finish Flat / HR Plate,Steel / Finish long / Pipes,Non Ferrous / Aluminium / Scrap,Non Ferrous / Aluminium / Ingot,Non Ferrous / Copper / Scrap,Non Ferrous / Copper / Wire Rod,Non Ferrous / Zinc / Ingot,Non Ferrous / Lead / Ingot,Stainless Steel / Stainless Steel / Stainless Steel,Stainless Steel / Stainless Steel / Stainless Steel
Currency,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,USD,USD,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR
2023-05-13,43300,45400,30200,29050,37600,38500,44300,,,54100,,48300,,,,,,,,,,,,,,
2023-05-15,43300,45400,30400,29350,38000,38900,44650,,,54100,,48700,,,,,,,162000,,675000,728000,234000,183500,,
2023-05-16,43300,45400,30500,29600,38000,39500,44850,,,54100,,48700,,,,,,,163000,,673000,725000,233000,183500,,
2023-05-17,43300,45400,30600,29950,38500,39700,45150,,,54100,,48800,,,,,,,162500,,670000,725000,230000,183500,,
2023-05-18,43300,45400,30450,29550,38500,39500,44800,,,54100,,48500,,,,,,,162000,,674000,730000,231000,183500,,
2023-05-19,43200,45400,30350,29450,38000,39100,44600,,56400,53800,54000,48300,57350,600,595,62700,62700,,162000,,682000,735000,230000,183500,205000,350000
2023-05-20,43000,45400,30000,29100,38000,38900,44050,,,53500,,47800,,,,,,,,,,,,,,
2023-05-22,42700,45300,29850,28600,37500,38600,44000,,,53500,,47600,,,,,,,162000,,684000,730000,228000,182500,,
2023-05-23,42200,45300,29600,28300,37500,38800,43600,,,53500,,47300,,,,,,,162000,,674000,720000,225000,182500,,
2023-05-24,42000,45300,29500,28000,37300,38500,43750,,,53500,,47400,,,,,,,163000,,666000,712000,216000,182500,,
2023-05-25,42000,45300,29650,28300,37300,38800,44000,,,53500,,47400,,,,,,,163000,,666000,705000,212000,182500,,
2023-05-26,41800,45300,29450,27950,37500,38600,43550,,55800,53500,54000,47200,56800,595,586,61950,62700,,163000,,674000,710000,215000,182500,202000,350000
2023-05-27,41500,45300,29400,28150,37800,38700,43600,,,52900,,47100,,,,,,,,,,,,,,
2023-05-29,41500,45500,29050,27900,37800,38500,43300,,,52900,,46700,,,,,,,163000,,680000,730000,220000,184000,,
2023-05-30,41800,45500,29000,27800,37800,38300,43250,,,52400,,46700,,,,,,,163000,,678000,725000,219000,184000,,
2023-05-31,41800,45500,28950,27750,37800,38300,43100,,,52100,,46400,,,,,,,163000,,670000,720000,215000,184000,,
2023-06-01,41800,45500,28800,27600,37500,38000,43000,,,52100,,46400,,,,,,,163000,,673000,725000,213000,183000,,
2023-06-02,41800,45500,28600,27600,37300,37700,42950,,55100,51800,53000,46400,56000,580,570,61100,62700,,163000,,680000,735000,215000,183000,201000,351000
2023-06-03,41800,45500,28600,27600,37300,37700,43100,,,51600,,46600,,,,,,,,,,,,,,
2023-06-05,42300,45400,28550,27750,37100,38000,43300,,,51400,,46700,,,,,,,163000,,678000,733000,214000,183000,,
2023-06-06,42400,45400,28950,28200,37100,38200,43800,,,51400,,47500,,,,,,,162500,,682000,743000,216000,182000,,
2023-06-07,42500,45300,29000,28500,37300,38700,44150,,,51500,,47700,,,,,,,162500,,680000,735000,216000,181000,,
2023-06-08,42500,45300,29000,28350,37300,38800,44000,,,51500,,47800,,,,,,,162000,,682000,735000,220000,180000,,
2023-06-09,42500,45300,29300,28350,37200,38600,43900,,54400,51500,52100,47800,55250,610,570,60200,62700,,162000,,682000,735000,220000,180000,200000,350000
2023-06-10,42500,45300,29450,28200,37200,38600,44000,,,51200,,47800,,,,,,,,,,,,,,
2023-06-12,42500,45800,29400,28400,37000,38600,44200,,,51200,,48200,,,,,,,162000,,675000,730000,221000,180000,,
2023-06-13,42700,45800,29550,28450,37000,,44400,,,51200,,48300,,,,,,,162000,,678000,735000,218000,179000,,
2023-06-14,42700,46000,29400,28250,37000,,44100,,,51200,,48100,,,,,,,161000,,680000,745000,222000,179000,,
2023-06-15,42700,46000,29300,28050,37000,,44000,,,51000,,48000,,,,,,,160500,,680000,740000,226000,179000,,
